Arabic,English,Dutch
شاحِنة; شاحِنات,"truck, lorry, freight car","vrachtwagen, vrachtwagen, goederenwagon"
مَزعُوم,"so-called; alleged, claimed","zogenaamd; beweerd, geclaimd"
عَبوة; عَبوات,"package, pack; (explosive) charge","pakket, verpakking; (explosieve) lading"
عَبوة ناسِفة,explosive device,explosief apparaat
أمَّنَ,"to secure, safeguard, protect something/somebody; to insure, underwrite على something/somebody (ضد against)","iets/iemand beveiligen, beschermen, behoeden; verzekeren, onderschrijven على iets/iemand (ضد against)"
شُرفة,balcony,balkon
نَفْع,"benefit, advantage; use","voordeel, nut; gebruik"
قُصور,"shortcoming, insufficiency; negligence","tekortkoming, ontoereikendheid; nalatigheid"
إحداث,"effectuation, implementation; bringing about","uitvoering, implementatie; tot stand brengen"
مُنتَظِم,"regular, systematic; orderly","regelmatig, systematisch; ordelijk"
نَبَعَ، يَنبَعُ، النَّبْع,"to emerge, originate; to emanate, flow","Ontstaan, ontstaan; uitstralen, stromen"
مُقاتِل,"combatant, warrior","strijder, krijger"
راوٍ/الرّاوي,"narrator, storyteller; reciter (of poetry)","verteller, verhalenverteller; voordrager (van poëzie)"
رَقَبة,neck,nek
في رَقَبتِهِ,his responsibility,zijn verantwoordelijkheid
عُصفور، عَصافير,"bird, sparrow","vogel, mus"
اِحتَفَلَ,"to celebrate ب (anniversary, graduation)",om een ​​jubileum of afstuderen te vieren
قَوِيَ، يَقوى، القُوّة,to be strong (enough),sterk genoeg zijn
مُعتَدِل,"moderate (weather, policy), restrained; balanced","gematigd (weer, beleid), terughoudend; evenwichtig"
تَمديد,"lengthening; extension, prolongation","verlenging; uitbreiding, prolongatie"
اِنتِحار,suicide,zelfmoord
خَصْم,adversary,tegenstander
تَقصير,"deficiency, inadequacy","tekort, ontoereikendheid"
فَرَج,"relief, relaxation, happiness","verlichting, ontspanning, geluk"
إعجاب,"admiration, amazement; wonder, surprise","bewondering, verbazing; verwondering, verrassing"
إبعاد,"removal; distancing; banishment, deportation, exile","verwijdering; afstand nemen; verbanning, deportatie, ballingschap"
سَدَّ، يَسِدُّ، السَّداد,"to close, barricade (door); to turn off (electricity, water); to pay, settle (a debt); to fill (gap), provide (need)","Een deur sluiten, barricaderen; de elektriciteit of het water afsluiten; een schuld betalen, vereffenen; een tekort aanvullen, in een behoefte voorzien."
حَلَّقَ,"to fly, soar, hover; to circle (the skies)","vliegen, zweven, stilhangen; rondcirkelen (in de lucht)"
مُرتاح,"relaxed; at ease, resting; happy, satisfied","ontspannen; op je gemak, rustend; gelukkig, tevreden"
أبسَط,simpler/est; more/most basic,eenvoudiger/het eenvoudigst; meer/het meest basaal
نَقيب,"leader, head; union boss; (military) captain","leider, hoofd; vakbondsvoorzitter; (militaire) kapitein"
يورانيوم,uranium,uranium
نَسَب,lineage; kinship,afstamming; verwantschap
سامِع,"listening, hearing, able to hear; having heard","luisteren, horen, kunnen horen; gehoord hebben"
تَداعٍ/التَّداعي; تَداعٍ/التَّداعيات,"breakdown, collapse","ineenstorting, verslechtering"
تَداعيات,"reflections, thoughts; repercussions","reflecties, gedachten; gevolgen"
خَيْرة; خَيْرات,good deed,goede daad
خَيْرات,"resources, wealth, treasures","grondstoffen, rijkdom, schatten"
حُفرة، حُفَر,"pit, hole","put, gat"
اِستَأْهَلَ,"to deserve, merit something","iets verdienen, iets opbrengen"
مُقَدِّم,"person presenting or submitting; offering, presenting, submitting (request, complaint)","iemand die iets presenteert of indient; aanbieden, presenteren, indienen (verzoek, klacht)"
تَواجَدَ,"to exist, live; to be found, be located; to be present","bestaan, leven; gevonden worden, gelokaliseerd zijn; aanwezig zijn"
نَسمة,smile,glimlach
إسراع,"hurrying, speeding up; acceleration","haasten, versnellen; acceleratie"
لَفْظ,"uttering, saying","uitspreken, zeggen"
ألفاظ,"word, term, expression","woord, term, uitdrukking"
خَبيث,"malicious, evil; malignant, pernicious","kwaadaardig, boosaardig; kwaadaardig, verderfelijk"
جَمرة جَبيثة,anthrax,miltvuur
طابِق,"floor, story","verdieping, verhaal"
وُجوب,"necessity, obligation, duty","noodzaak, verplichting, plicht"
خَبَّرَ,to tell somebody something or عن about something or أنّ that,iemand iets vertellen of عن over iets of أنّ dat
اِنتِقام,"revenge; retaliation, reprisal","wraak; vergelding, represaille"
جامِع,"comprehensive, extensive; gathering, collecting; collector (stamps, etc)","omvattend, uitgebreid; verzamelen, bijeenbrengen; verzamelaar (postzegels, enz.)"
خالِد,"immortal, eternal; glorious","onsterfelijk, eeuwig; glorieus"
صَحابة,Sahaba (companions of the Prophet),Sahaba (metgezellen van de Profeet)
تَصاعُد,"rise, ascent; escalation","stijging, opstijging; escalatie"
لَوْم,"blame, fault, disapproval, reproach","schuld, fout, afkeuring, verwijt"
مَنزَِليّ,"(adjective) domestic, household","(bijvoeglijk naamwoord) huiselijk, huishoudelijk"
صُحبة,friendship,vriendschap
بِصُحبة,accompanied by,vergezeld door
اِفتَقَرَ,"to lack, be in need إلى of something","gebrek hebben aan, behoefte hebben aan iets"
دَفتَر,notebook; ledger,notitieboek; grootboek
تَعبِئة,"(military) mobilization, alert; (manufacture) packaging, canning, bottling","(militair) mobilisatie, alarm; (productie) verpakken, inblikken, bottelen"
مِظَلّة,umbrella,paraplu
مُطَّلِع,well-informed (على about something),goed geïnformeerd (على over iets)
لِمَ,why,Waarom
مُراد,"object, goal, intention; (what is) desired, intended","object, doel, intentie; (wat) gewenst, bedoeld is"
رَصَدَ، يَرصُدُ، الرَّصْد,"object, goal, intention; (what is) desired, intended","object, doel, intentie; (wat) gewenst, bedoeld is"
جالية,"expatriate community, colony","expatgemeenschap, kolonie"
اِختَرَقَ,"to exceed, break (barrier); to pierce, penetrate something; to hack into (computer, network); to traverse, cross (region)","Een barrière overschrijden, doorbreken; iets doorboren, binnendringen; inbreken in een computer of netwerk; een gebied doorkruisen, doorkruisen."
ألغى,"to cancel, terminate; abrogate","annuleren, beëindigen; opheffen"
مَثيل,"equal, match; peer","gelijkwaardig, overeenkomend; gelijke"
لا مَثيل لَهُ,beyond comparison,onvergelijkbaar
وِجدان,"feeling, emotion; conscience","gevoel, emotie; geweten"
مُرتَقَب,"expected, anticipated","verwacht, voorzien"
أكرَمَ,"to honor, respect somebody; to venerate pay tribute to somebody","iemand eren, respecteren; vereren, iemand eer betonen"
مُستَهدَف,"targeted, aimed at, intended","gericht op, bedoeld voor, bedoeld"
صَحراويّ,desert; Saharan,woestijn; Sahara
اِندَرَجَ,"to be inserted, included; to be classified, categorized, filed","Invoegen, opnemen; classificeren, categoriseren, archiveren"
لِباس,"clothes, dress, attire","kleding, jurk, outfit"
أضاعَ,"to lose something; to waste (time); to miss, let go by (opportunity)","iets verliezen; tijd verspillen; een kans missen, laten schieten"
حَراك,"movement, motion","beweging, beweging"
أنزَلَ,"to bring or send down, lower something","iets naar beneden brengen of laten zakken, iets laten zakken"
جامِد,frozen; rigid,bevroren; stijf
بَهجة,"splendor, magnificence; delight","pracht, pracht; genot"
ذابَ، يَذوبُ، الذَّوْب,"to dissolve, melt","oplossen, smelten"
ساحِليّ,"coastal, seaside","kust, zee"
ضَجيج,noise; commotion,lawaai; commotie
مَوْضوعيّة,objectivity,objectiviteit
نِتاج,"result, outcome; production; offspring","resultaat, uitkomst; productie; nakomelingen"
مُزارِع,farmer,boer
مَرَضيّ,pathological; diseased; medical,pathologisch; ziek; medisch
حَنيف,orthodox,orthodox
الدّين الحَنيف,Islam,Islam
سارَعَ,"to hurry, hasten إلى to a place, or to do something","zich haasten, zich naar een plaats begeven, of iets doen"
خِلافة,succession; caliphate,opvolging; kalifaat
ناسِف,"explosive, exploding","explosief, exploderend"
بُلوغ,"reaching, attaining","bereiken, verkrijgen"
تَرَكَّزَ,"to be centered, concentrated حول/على/في in/on/around something; to be focused على خر something","gecentreerd zijn, geconcentreerd حول/على/في in/op/rond iets; gefocust zijn على خر iets"
حلا، يَحلو، الحَلاوة,to be sweet,lief zijn
يَحلو لَهُ أنْ,to enjoy doing something,plezier beleven aan iets
كَما يَحلو لَهُ,as he pleases,zoals hij wil
تَوافَقَ,"to agree, concur","instemmen, het eens zijn met elkaar zijn"
اِستَضافَ,"to host, invite somebody","gastheer zijn, iemand uitnodigen"
مَصرَع,"death, fatality","dood, dodelijk"
مُتَظاهِر,demonstrator; demonstrating,demonstrator; demonstreren
مَفعول,"impact, effect; result","impact, effect; resultaat"
ساري المَفعول,valid (permit),geldig (vergunning)
خَياليّ,"imaginary, fantastic; fictitious","denkbeeldig, fantastisch; fictief"
كَمّ,"amount, quantity","hoeveelheid, hoeveelheid"
تَشكيليّ,"visual, graphic","visueel, grafisch"
اِزدياد,"growth, increase, rise","groei, toename, stijging"
اِستِعانة,"seeking help ب from somebody, resorting ب to something, making use of ب something","hulp zoeken bij iemand, je toevlucht nemen tot iets, gebruikmaken van iets"
مُحَلِّل,analyst,analist
مُنصَرِم,"gone by, elapsed (time period)","voorbijgegaan, verstreken (tijdsperiode)"
عِندئذٍ,"then, at that time","toen, op dat moment"
صِنْف، أصناف,"type, class, kind, category","type, klasse, soort, categorie"
اِستَبعَدَ,to rule out (regard as unlikely) something,iets uitsluiten (als onwaarschijnlijk beschouwen)
أضحى,"to become; (with imperfect) to begin, start (doing)","worden; (met imperfectum) beginnen, starten (met doen)"
حِبْر,"embellishment, adornment, decoration","verfraaiing, versiering, decoratie"
اِستِشاريّ,"advisory, consultative, consulting; advisor, consultant","adviserend, raadgevend, consulterend; adviseur, consultant"
جَليل,"venerable, eminent; glorious, great","eerbiedwaardig, vooraanstaand; glorieus, groots"
هاتِ,"bring, french, get something; to give, hand over something","iets brengen, krijgen; iets geven, overhandigen"
تَبرير,"justification, pretext; vindication, exoneration","rechtvaardiging, voorwendsel; verdediging, vrijspraak"
جِذريّ,"radical, fundamental, basic","radicaal, fundamenteel, basis"
تَوالى,"to follow in succession, come on after the other","om elkaar op te volgen, na elkaar te komen"
خُضار,"(colloquial) vegetables, greens","(spreektaal) groenten, bladgroenten"
حَرَّمَ,"to outlaw, ban something; to forbid على somebody to do something; to prevent على somebody from doing something","iets verbieden, beletten; iemand beletten iets te doen; iemand ervan weerhouden iets te doen"
مُحاوِل,"attempting, trying (to do something)","een poging doen, proberen (iets te doen)"
جَمَل، جِمال,camel,kameel
مُؤَلَّف,"composed (من of); compiled; publication, book; compilation, composition","samengesteld (من van); gecompileerd; publicatie, boek; compilatie, compositie"
أُلوف مُؤَلَّفة,thousands and thousands,duizenden en duizenden
مَعروض,"on display, shown; offered, available; offering, proposal","tentoongesteld, getoond; aangeboden, beschikbaar; aanbod, voorstel"
ذَرّة,"atom, particle","atoom, deeltje"
جَمْر,embers,gloeiende kolen
تَسَلَّلَ,to infiltrate إلى something,iets infiltreren
مُرضٍ/المُرضي,"satisfactory, satisfying, pleasing; adequate, sufficient","bevredigend, aangenaam, geschikt, voldoende"
مُصَلٍّ/المُصَلّي,"praying, worshipping; person praying or worshipping","bidden, aanbidden; iemand die bidt of aanbidt"
هاجَمَ,"to attack, assault something/somebody; to raid, launch a strike against something","aanvallen, iets/iemand bestormen; een aanval uitvoeren, een offensief lanceren tegen iets"
زبون، زَبائِن,"custom, client","op maat, klant"
مُقَرَّب,"close, near; close companion, protege","dichtbij, nabij; goede vriend, beschermeling"
طائِفيّة,"sectarianism, factionalism","sektarisme, factievorming"
طُمَأْنينة,"calm, tranquility, serenity; rest, repose","kalmte, rust, sereniteit; rust, ontspanning"
تَهريب,smuggling (goods or persons),smokkel (van goederen of personen)
إتْمام,completion; realization,voltooiing; realisatie
صَحوة,"awakening, revival; resurgence","ontwaken, herleving; wederopleving"
وِقائيّ,protective; preservative; preventative,beschermend; conserverend; preventief
خَطَرَ، يَخطِرُ. الخَطْر,to occur ل to somebody; to come على/ب to somebody’s minds,bij iemand opkomen; in iemands gedachten opkomen
دائِر,"taking place, happening; ongoing, current","plaatsvindend, gebeurend; lopend, actueel"
وَيْل,"woe, distress","ellende, nood"
يا وَيْلي,woe is me!,Wee mij!
أجدى,"to be useful, helpful",nuttig en behulpzaam zijn
يُجدي نَفْعاً,it’s useful,Het is nuttig.
عَتمة,"dark, darkness, gloom","donker, duisternis, somberheid"
شَقَّ، يَشُقُّ، الشَّقّ,"to split, cut through something","splijten, doorsnijden iets"
شَقَّ طَريقه,to make one’s way (إلى towards),zich een weg banen (إلى naar)
مَعمَل، مَعامِل,"laboratory; factory, installation, (production) facility","laboratorium; fabriek, installatie, (productie)faciliteit"
دِبموماسيّة,diplomacy,diplomatie
دُهْن، دُهون,"oil, grease, fat (especially in food)","olie, vet, olie (vooral in voedsel)"
فيتامين; فيتامينات,vitamin,vitamine
اِختِراق,"breaking (barrier); incursion, penetration; traversing, crossing (region); hacking into (computer, network)","doorbreken (van een barrière); binnendringen, binnendringen; doorkruisen, oversteken (van een gebied); inbreken in (een computer, netwerk)"
